1564.0,1,306,11.1354059259
1900.0,1,170,11.3449876344
1096.0,1,774,41.0408199925
1397.0,1,273,13.0885897134
2117.0,1,153,10.9730726624
1827.0,1,443,15.8301270943
-26.0,0,486,23.5560490741
690.0,0,160,9.26317265397
1541.0,1,529,18.108795806
1582.0,1,288,10.6702753024
1406.0,1,464,24.3853117036
726.0,0,334,12.8141842726
2.0,0,158,6.64383183005
1705.0,1,365,12.626365992
-166.0,0,526,24.9637020614
976.0,0,204,8.86994225461
1248.0,1,422,26.2178228781
1653.0,1,217,11.1548155731
1791.0,1,279,12.6309656499
1342.0,1,328,13.4473407658
2099.0,1,171,12.0736977916
1246.0,1,224,11.4710121381
1588.0,1,282,14.6912849515
105.0,0,755,42.9820011372
1461.0,1,209,10.1338835279
1438.0,1,232,12.5447365191
1853.0,1,217,12.8966649157
587.0,0,273,16.1329627925
1687.0,1,583,27.9681050813
1669.0,1,201,10.636195724
1842.0,1,228,14.8626669606
1605.0,1,465,25.8348869069
1665.0,1,405,21.5702042221
1680.0,1,190,10.9522222404
1676.0,1,194,10.6855153599
1710.0,1,160,11.3452968135
1348.0,1,522,24.8744856419
1520.0,1,350,18.2785870885
1187.0,1,483,21.648412628
1313.0,1,357,16.1629964528
1511.0,1,159,9.31986250186
1337.0,1,333,16.0464241734
